Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 4 for remote forward to localhost:8000
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
https://cueaa-103-26-49-54.free.pinggy.net
https://nagvj-103-26-49-54.run.pinggy-free.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 1               
RB: 0, SB: 0, TC: 1, AC: 1               
RB: 328, SB: 153, TC: 1, AC: 1               
RB: 328, SB: 153, TC: 1, AC: 1               
RB: 328, SB: 153, TC: 1, AC: 1               
RB: 658, SB: 306, TC: 2, AC: 2               
RB: 19097, SB: 558712, TC: 16, AC: 3               
RB: 19097, SB: 558712, TC: 16, AC: 3               
RB: 19097, SB: 558712, TC: 16, AC: 3               
RB: 19097, SB: 558712, TC: 16, AC: 3               
RB: 19097, SB: 558712, TC: 16, AC: 3               
RB: 19097, SB: 558712, TC: 16, AC: 3               
RB: 19097, SB: 558712, TC: 16, AC: 3               
RB: 21929, SB: 758400, TC: 17, AC: 4               
RB: 21929, SB: 758400, TC: 17, AC: 4               
RB: 21929, SB: 788532, TC: 17, AC: 4               
RB: 21929, SB: 788532, TC: 17, AC: 1               
RB: 21929, SB: 788532, TC: 17, AC: 0               
RB: 21929, SB: 788532, TC: 17, AC: 0               
RB: 21929, SB: 788532, TC: 17, AC: 0               
RB: 21929, SB: 788532, TC: 17, AC: 0               
RB: 21929, SB: 788532, TC: 17, AC: 0               
RB: 22258, SB: 788724, TC: 18, AC: 1               
RB: 22258, SB: 788724, TC: 18, AC: 0               
RB: 22258, SB: 788724, TC: 18, AC: 0               
RB: 22258, SB: 788724, TC: 18, AC: 0               
RB: 22584, SB: 788969, TC: 19, AC: 1               
RB: 22584, SB: 788969, TC: 19, AC: 1               
RB: 22909, SB: 788969, TC: 20, AC: 2               
RB: 22909, SB: 788969, TC: 20, AC: 2               
RB: 22909, SB: 789200, TC: 20, AC: 2               
RB: 22909, SB: 789200, TC: 20, AC: 0               
